tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-580,Australian Open,Hard,128,G,20170116,171,105453,5,,Kei Nishikori,R,178,JPN,27.04996578,5,5010,104871,,,Jeremy Chardy,R,188,FRA,29.92744695,72,705,6-3 6-4 6-3,5,R64,126,2,0,88,61,41,15,14,6,9,5,5,94,54,32,16,14,11,18
2017-580,Australian Open,Hard,128,G,20170116,172,104527,4,,Stanislas Wawrinka,R,183,SUI,31.80561259,4,5155,105449,,,Steve Johnson,R,188,USA,27.06365503,30,1390,6-3 6-4 6-4,5,R64,111,11,4,88,54,47,19,15,5,5,6,0,93,66,44,14,14,8,11
2017-580,Australian Open,Hard,128,G,20170116,173,104678,29,,Viktor Troicki,R,193,SRB,30.93223819,35,1225,103893,,,Paolo Lorenzi,R,183,ITA,35.08829569,43,1033,6-3 1-6 7-6(3) 3-6 6-3,5,R64,227,21,6,154,84,65,34,23,12,16,8,8,160,98,68,32,23,8,11
2017-580,Australian Open,Hard,128,G,20170116,174,104327,,,Steve Darcis,R,178,BEL,32.84599589,71,707,106043,,,Diego Sebastian Schwartzman,R,170,ARG,24.41889117,54,867,6-3 6-3 2-6 6-4,5,R64,152,5,0,114,80,57,16,18,5,8,5,5,118,67,46,24,18,5,10
2017-580,Australian Open,Hard,128,G,20170116,175,104312,,,Andreas Seppi,R,190,ITA,32.90349076,89,635,106401,14,,Nick Kyrgios,R,193,AUS,21.724846,13,2460,1-6 6-7(1) 6-4 6-2 10-8,5,R64,188,16,4,149,85,65,41,28,7,10,28,8,171,118,88,27,27,7,12
2017-580,Australian Open,Hard,128,G,20170116,176,104542,12,,Jo Wilfried Tsonga,R,188,FRA,31.75085558,12,2505,105583,,,Dusan Lajovic,R,180,SRB,26.54893908,94,627,6-2 6-2 6-3,5,R64,105,15,2,79,45,38,17,13,3,4,1,0,85,57,30,13,12,9,15
2017-580,Australian Open,Hard,128,G,20170116,177,106058,23,,Jack Sock,R,185,USA,24.31211499,20,1810,111575,,,Karen Khachanov,R,,RUS,20.65708419,52,875,6-3 6-4 6-4,5,R64,134,7,5,107,63,51,20,15,8,9,10,6,111,58,41,22,14,11,15
2017-580,Australian Open,Hard,128,G,20170116,178,106071,27,,Bernard Tomic,R,193,AUS,24.23819302,27,1420,103607,,,Victor Estrella,R,173,DOM,36.45722108,103,586,7-5 7-6(4) 4-6 7-6(5),5,R64,200,19,2,134,96,77,21,23,3,5,13,7,164,104,77,31,23,6,8
2017-580,Australian Open,Hard,128,G,20170116,179,105554,,,Daniel Evans,R,175,GBR,26.65297741,51,886,105227,7,,Marin Cilic,R,198,CRO,28.30116359,7,3605,3-6 7-5 6-3 6-3,5,R64,177,5,7,143,84,58,30,20,16,19,14,4,110,63,44,24,19,8,14
2017-580,Australian Open,Hard,128,G,20170116,180,104792,6,,Gael Monfils,R,193,FRA,30.37645448,6,3625,105238,,,Alexandr Dolgopolov,R,180,UKR,28.19164956,69,715,6-3 6-4 1-6 6-0,5,R64,116,17,5,92,62,49,11,16,3,6,6,5,123,72,48,19,16,13,19
2017-580,Australian Open,Hard,128,G,20170116,181,104259,32,,Philipp Kohlschreiber,R,178,GER,33.25393566,33,1325,105385,,,Donald Young,L,183,USA,27.48528405,85,651,7-5 6-3 6-0,5,R64,111,3,3,77,43,33,23,14,4,5,5,2,93,62,30,15,13,5,12
